qty,designator,footprint,comment,lcsc,,,Value,Device,Package,Parts,Description,BOM,PROD_ID,REV
1,USBJACK,USB-C-16P,,C167321,,,,,,,USB Type C 16Pin Connector,,CONN-14122,
9,"C6, C7, C9, C11, C12, C13, C14, C15, C16",0603-NO,0.1uF,,,,,,,,Ceramic Capacitors,,,
4,"R1, R3, R4, R5",0603-NO,10K,,,,,,,,Resistors,,,
3,"C1, C4, C5",0805-NO,10uF,,,,,,,,Ceramic Capacitors,,,
1,Y1,RESONATOR3225,12MHz,C93234,,,,,,,Various standard crystals. Proven footprints.,,,
2,"R6, R11",0603-NO,1K,,,,,,,,Resistors,,,
50,"U$13, U$14, U$15, U$17, U$18, U$19, U$20, U$21, U$22, U$23, U$24, U$26, U$27, U$28, U$29, U$30, U$31, U$32, U$33, U$54, U$59, U$63, U$68, U$69, U$70, U$71, U$94, U$95, U$96, U$97, U$99, U$100, U$101, U$102, U$103, U$104, U$105, U$106, U$108, U$109, U$110, U$111, U$134, U$135, U$136, U$137, U$139, U$140, U$141, U$142",SOD-323SLIM,1N4148WS,,,,,,,,,,,
2,"C8, C10",0603-NO,1uF,,,,,,,,Ceramic Capacitors,,,
2,"C2, C3",0603-NO,22pF,,,,,,,,Ceramic Capacitors,,,
2,"R9, R10",0603-NO,27,,,,,,,,Resistors,,,
1,U1,SOIC8_208MIL,2MB Flash,C97521,,,,,,,SOIC8 SPI Flash,,,
2,"R12, R13",0603-NO,5.1K,,,,,,,,Resistors,,,
1,U2,SOT23-5@1,AP2112-3.3,C134139,,,,,,,SOT23-5 Fixed Voltage Regulators,,,
45,"SW00, SW01, SW02, SW03, SW04, SW09, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49",CHERRY-SOCKET5,CHERRY-SOCKET7SOCKET5,C5156480,,,,,,,,,,
4,"U$38, U$39, U$62, U$64",FIDUCIAL_1MM,FIDUCIAL_1MM,,,,,,,,Fiducial Alignment Points,EXCLUDE,,
1,U$34,JOYSTICKCOMBO,JOYSTICKCOMBO,,,,,,,,,,,
15,"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12, U$16, U$25, U$78",M2MOUNT,M2MOUNT,,,,,,,,,,,
8,"U$65, U$66, U$67, U$72, U$74, U$75, U$76, U$77",M2SOLDER,M2MOUNTSOLDERMOUNT,C2928180,,,,,,,,,,
1,D4,SOD-123,MBR540,C8598,,,,,,,,,,
1,U$73,PI4,PI4,,,,,,,,,,,
4,"ROT0, ROT1, ROT2, ROT3",ROTARY_ENC_SLOT,ROTARYENCODER_UNIVERSALSLOT,,,,,,,,,,,
1,IC1,QFN56_7MM_REDUCEDEPAD,RP2040_QFN56,,,,,,,,,,,
2,"RST, USB",TACTILE_SWITCH_SMD,SWITCH-MOMENTARY-2SMD,C318884,,,,,,,"Various NO switches- pushbuttons, reed, etc",,SWCH-08247,