designator,mid x,mid y,layer,rotation
C1,28.5,84.5,bottom,270
C2,36.4,55,bottom,270
C3,30.4,55,bottom,90
C4,40.8,77.2,bottom,90
C5,27,55,bottom,270
C6,25,55,bottom,90
C7,27.6,70.6,bottom,270
C8,26,70.6,bottom,90
C9,21,55,bottom,90
C10,39.2,77.2,bottom,90
C11,22.8,70.6,bottom,90
C12,38.4,65.6,bottom,180
C13,37.6,77.2,bottom,90
C14,24.4,70.6,bottom,90
C15,38.4,67.4,bottom,180
C16,19.57,66.25,bottom,0
D4,24.5,84.5,bottom,90
IC1,28,63.2,bottom,0
R1,23,55,bottom,90
R3,30.5,84.5,bottom,270
R4,26.5,84.5,bottom,90
R5,39.2,70.4,bottom,90
R6,28.7,55,bottom,90
R9,19.6,68.2,bottom,180
R10,19.6,69.8,bottom,180
R11,37.6,70.4,bottom,90
R12,17.4,83.6,bottom,90
R13,14.2,83.6,bottom,90
RST,17,55,bottom,270
SW00,105.41,81.92,bottom,180
SW01,124.46,81.92,bottom,180
SW02,143.51,81.92,bottom,180
SW03,162.56,81.92,bottom,180
SW04,181.61,81.92,bottom,180
SW09,295.91,43.82,bottom,180
SW10,105.41,62.87,bottom,180
SW11,124.46,62.87,bottom,180
SW12,143.51,62.87,bottom,180
SW13,162.56,62.87,bottom,180
SW14,181.61,62.87,bottom,180
SW15,295.91,5.71,bottom,180
SW16,276.86,5.71,bottom,180
SW17,257.81,5.71,bottom,180
SW18,238.76,5.71,bottom,180
SW19,219.71,5.71,bottom,180
SW20,105.41,43.82,bottom,180
SW21,124.46,43.82,bottom,180
SW22,143.51,43.82,bottom,180
SW23,162.56,43.82,bottom,180
SW24,181.61,43.82,bottom,180
SW25,200.66,43.82,bottom,180
SW26,219.71,43.82,bottom,180
SW27,238.76,43.82,bottom,180
SW28,257.81,43.82,bottom,180
SW29,276.86,43.82,bottom,180
SW30,57.79,24.77,bottom,180
SW31,76.84,24.77,bottom,180
SW32,95.89,24.77,bottom,180
SW33,133.99,24.77,bottom,180
SW34,153.03,24.77,bottom,180
SW35,191.14,24.77,bottom,180
SW36,210.19,24.77,bottom,180
SW37,229.24,24.77,bottom,180
SW38,267.34,24.77,bottom,180
SW39,286.38,24.77,bottom,180
SW41,48.26,5.71,bottom,180
SW42,67.31,5.71,bottom,180
SW43,86.36,5.71,bottom,180
SW44,105.41,5.71,bottom,180
SW45,124.46,5.71,bottom,180
SW46,143.51,5.71,bottom,180
SW47,162.56,5.71,bottom,180
SW48,181.61,5.71,bottom,180
SW49,200.66,5.71,bottom,180
U$13,155.58,12.7,bottom,90
U$14,174.63,12.7,bottom,90
U$15,279.43,85.92,bottom,270
U$17,41.27,12.7,bottom,90
U$18,250.83,12.7,bottom,90
U$19,231.78,50.8,bottom,90
U$20,222.25,31.75,bottom,90
U$21,60.33,12.7,bottom,90
U$22,295.28,66.67,bottom,270
U$23,231.78,12.7,bottom,90
U$24,250.83,50.8,bottom,90
U$26,260.35,31.75,bottom,90
U$27,193.68,12.7,bottom,90
U$28,288.93,50.8,bottom,90
U$29,79.38,12.7,bottom,90
U$30,212.73,12.7,bottom,90
U$31,269.88,50.8,bottom,90
U$32,31.7,11.85,bottom,180
U$33,279.4,31.75,bottom,90
U$39,12.7,76.2,bottom,90
U$54,98.43,12.7,bottom,90
U$59,117.48,12.7,bottom,90
U$62,26.48,48.95,bottom,0
U$63,136.53,12.7,bottom,90
U$68,98.43,69.85,bottom,90
U$69,98.43,50.8,bottom,90
U$70,50.8,31.75,bottom,90
U$71,101.23,88.9,bottom,90
U$94,117.48,88.9,bottom,90
U$95,117.48,69.85,bottom,90
U$96,117.48,50.8,bottom,90
U$97,69.85,31.75,bottom,90
U$99,136.53,88.9,bottom,90
U$100,136.53,69.85,bottom,90
U$101,136.53,50.8,bottom,90
U$102,88.9,31.75,bottom,90
U$103,155.58,88.9,bottom,90
U$104,155.58,69.85,bottom,90
U$105,155.58,50.8,bottom,90
U$106,127,31.75,bottom,90
U$108,174.63,69.85,bottom,90
U$109,174.63,50.8,bottom,90
U$110,146.05,31.75,bottom,90
U$111,174.63,88.9,bottom,90
U$134,222.68,85.92,bottom,270
U$135,288.93,12.7,bottom,90
U$136,193.68,50.8,bottom,90
U$137,184.15,31.75,bottom,90
U$139,250.65,66.67,bottom,270
U$140,269.88,12.7,bottom,90
U$141,212.73,50.8,bottom,90
U$142,203.2,31.75,bottom,90
U1,33.6,72.6,bottom,0
U2,34,84.5,bottom,90
USB,45,71.5,bottom,270
USBJACK,15.5,90.55,bottom,180
Y1,33.4,55,bottom,180
U$65,3.5,3.5,bottom,180
U$66,3.5,34.5,bottom,180
U$67,301,19.05,bottom,180
U$72,301,91.5,bottom,180
U$74,27,42.5,bottom,180
U$75,85,42.5,bottom,180
U$76,85,91.5,bottom,180
U$77,27,91.5,bottom,180